BASE	ESQUEMA	TABLA	FILAS	LINEAS	ESTADO
dwh	dwh	aac	5	6	OK
dwh	dwh	acelerometro	5	6	OK
dwh	dwh	activacion_pendiente	1	2	OK
dwh	dwh	activacion_pendiente_1	833819	833820	OK
dwh	dwh	activacion_pend_descartado	11	12	OK
dwh	dwh	alm	12	13	OK
dwh	dwh	alm_old	9	10	OK
dwh	dwh	amr	5	6	OK
dwh	dwh	ams	5	6	OK
dwh	dwh	analisis_trf_sms_mkt	1403671	1403672	OK
dwh	dwh	anho_fabricacion	25	26	OK
dwh	dwh	anio	41	42	OK
dwh	dwh	anticuacion_deuda	11	12	OK
dwh	dwh	aplicacion_carga	35	36	OK
dwh	dwh	aplicacion_maxicarga	20	21	OK
dwh	dwh	aplica_servicios	4	5	OK
dwh	dwh	apn	551	552	OK
dwh	dwh	appliance	5	6	OK
dwh	dwh	archivo_wap	49	50	OK
dwh	dwh	audiojack	5	6	OK
dwh	dwh	autor	2790	2791	OK
dwh	dwh	autorizador	15	16	OK
dwh	dwh	banco_max	22	23	OK
dwh	dwh	bandagsm	123	124	OK
dwh	dwh	bandaumts	69	70	OK
dwh	dwh	banda_horaria	434	435	OK
dwh	dwh	banner_sn_wap	4	5	OK
dwh	dwh	bluetooth	6	7	OK
dwh	dwh	bodega	31	32	OK
dwh	dwh	bolsa	29	30	OK
dwh	dwh	caja	192	193	OK
dwh	dwh	caja_or	88	89	OK
dwh	dwh	calificacion_cp	20	21	OK
dwh	dwh	calling_list	58	59	OK
dwh	dwh	call_result	56	57	OK
dwh	dwh	camara	5	6	OK
dwh	dwh	camara_secundaria	5	6	OK
dwh	dwh	camel	5	6	OK
dwh	dwh	campaign	61	62	OK
dwh	dwh	campaign_group_state	4	5	OK
dwh	dwh	canal	139	140	OK
dwh	dwh	canal_cobranza	14	15	OK
dwh	dwh	canal_distribucion	250	251	OK
dwh	dwh	canal_maxicarga	25	26	OK
dwh	dwh	canal_or	138	139	OK
dwh	dwh	caracteristica_abonado	8	9	OK
dwh	dwh	cargo	2711	2712	OK
dwh	dwh	cargo_mes_sn	4	5	OK
dwh	dwh	categoria	28	29	OK
dwh	dwh	categoria_backtone	29	30	OK
dwh	dwh	categoria_cliente	15	16	OK
dwh	dwh	categoria_musica	64	65	OK
dwh	dwh	celda	44978	44979	OK
dwh	dwh	celda_x_dpto_tmp	4380	4381	OK
dwh	dwh	celda_x_zona	57089	57090	OK
dwh	dwh	chargeable_leg	4	5	OK
dwh	dwh	ciclo_facturacion	9	10	OK
dwh	dwh	ciudad	1226	1227	OK
dwh	dwh	clase_comercial	10	11	OK
dwh	dwh	clase_credito	3714	3715	OK
dwh	dwh	clase_servicio	62	63	OK
dwh	dwh	cliente	5737680	5737681	OK
dwh	dwh	cliente_empresa	18391	18392	OK
dwh	dwh	cliente_hist	8615542	8615543	OK
dwh	dwh	cliente_max	240	241	OK
dwh	dwh	cliente_maxicarga	90509	90510	OK
dwh	dwh	clubp_acumulado_evento	747183	747184	OK
dwh	dwh	clubp_acumulado_evento_bkp	544338	544339	OK
dwh	dwh	clubp_acumulado_evento_his	339702161	239995007	VERIFICAR
dwh	dwh	clubp_acumulado_evento_rep	6063	6064	OK
dwh	dwh	clubp_evento	0	1	OK
dwh	dwh	clubp_evento_lote	3695	3696	OK
dwh	dwh	clubp_socio_lote_cab	2114	2115	OK
dwh	dwh	clubp_socio_lote_cab_migra	279	280	OK
dwh	dwh	clubp_socio_lote_det	1909259	1909260	OK
dwh	dwh	clubp_socio_lote_det_migra	113488	113489	OK
dwh	dwh	codigo_equivalencia	1217	1218	OK
dwh	dwh	cola	9133	9134	OK
dwh	dwh	comercio	1910	1911	OK
dwh	dwh	comercio_or	1794	1795	OK
dwh	dwh	comercio_vas	2704	2705	OK
dwh	dwh	compas_telefono	5	6	OK
